ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
2693,"Certified Refurbished - Apple Macbook Pro 13"" core 2 duo 2010 [2.66] [320GB] [4GB] MC375LL/A - 90 Day Warranty",411.65,Apple,13 in,4 GB,320 GB,Intel Core 2 Duo,2.66 GHz,"OS x 10.6 Snow Leopard, Upgrades to Current OS",10 h
2694,Certified Refurbished - Apple MacBook Pro 13-Inch Laptop - 2.26Ghz Core 2 Duo / 4GB RAM / 250GB and Up HDD MB990LL/A (Grade B),469,Apple,13.3 in,4 GB,250 GB,Intel Core 2 Duo,2.26 Hz,Mac OS X,
2695,"Refurbished Apple MacBook Pro 13.3"" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA",498.99,Apple,13 in,4 GB,500 GB,Intel Core i5,2.5 GHz,Mac OS,
2696,"Apple MacBook Pro MD101LLA Intel Core i5-3210M X2 2.5GHz 4GB 500GB DVD 13.3"", Silver (Refurbished)",569.95,Apple,13.3 Inches,4 Gigabytes,500 Gigabytes,Intel Core i5,2.5 Gigahertz,Apple Mac OS X 10.7,7 Hours
2697,"Refurbished Apple MacBook Pro MF839LL/A i5 2.7GHz 8GB 240SSD OS X 10.10 Yosemite 13"" LCD B",679,Apple,"13\""",8 GB,,,,,
2698,"Refurbished Apple MacBook 13.3"" Laptop 1GB 120GB Core 2 Duo T8100 2.1GHz - White - MB402LL/A",399,Apple,13.3,,,Intel Core 2 Duo,,Apple iOS,
2699,"Apple MacBook Pro MF839LL/A Intel Core i5-5257U X2 2.7GHz 8GB 128GB, Silver (Certified Refurbished)",899.99,Apple,13.3 Inches,8 Gigabytes,128 Gigabytes,Intel Core i5,2.7 Gigahertz,Apple Mac OS X 10.10,8 Hours
2700,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 1 GB RAM - 120 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.75 Lion",116.99,Apple,13.3,,120,,,,
2701,"Apple MacBook Pro MD103LL/A 15.4"" 500GB,Intel Core i7 Four-core,2.30GHz,4GB White",699.99,Apple,"15.4""",4 GB,500 GB,Intel Core i7,2.30 GHz,Mac OS X 10.8 Mountain Lion,7 Hour
2702,"Apple 13.3"" MacBook Air (Mid 2017, Silver) # MQD42LL/A",1089.77,Apple,13.3 in,,,,,,
2703,Apple MacBook Pro 15-Inch Retina Laptop Quad i7 2.6GHz / 16GB DDR3 Memory / 1TB SSD / Geforce GT 650M 1GB Video / Thunderbolt / HDMI (Refurbished),1699.95,Apple,15.4 in,16 GB,1 TB,Intel Core i7,2.6 GHz,Mac OS,7 h
2704,"Refurbished Grade A Apple MacBook Air 11.6"" 1.6GHz Core i5 2GB RAM 64GB SSD Silver",486.15,Apple,11.6 in,2 GB,64 GB,Intel Core i5,1.6 GHz,Mac OS X 10.7,5 h
2705,"Apple MacBook Air MD760LL/A 13.3-Inch Laptop (Intel Core i5 Dual-Core 1.3GHz up to 2.6GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0) (Certified Refurbished)",598.97,Apple,13.3,4 Gigabytes,128,core_i5,1.3 Gigahertz,Mac OS X,
2706,"Apple MacBook 2.13GHz Intel Core 2 Duo 1GB Ram 160 HD 13.3"" Laptop MC240LL/A (Refurbushed)",299.99,Apple,"13.3\""",1 GB,,,,,
2707,Apple MacBook Air 11.6 Inch Laptop MD711LL/A (Certified Refurbished),500,Apple,,,,,,,
2708,"Apple MacBook Pro Retina Core i5 Dual-Core 2.4GHz 4GB 128GB SSD 13.3"" Notebook OS X w/Webcam & BT (Late 2013)",729.99,Apple,13.3 in,4 GB,128 GB,,,,
2709,"Apple MacBook 1.2 Rose Gold ""Core m5"" 1.10GHz 8GB 12"" Early 2016 (MMGM2LL/A) + Power Adapter (Refurbished)",1309,Apple,12 in,8.00 GB,512.00 GB,Core M5,1.20 GHz,"Mac OS X 10.11.4, Mac OS",
2710,"Refurbished Apple MacBook Pro 13.3"" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA",494.89,Apple,13.3 in,4 GB,500 GB,,,Microsoft Windows,
2711,"Refurbished Apple MacBook Pro 13.3"" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA",519.99,Apple,13.3 in,4 GB,500 GB,,,Mac OS,
2712,"Refurbished Macbook Pro 15.4"" Laptop, Core i7, 4GB, 500GB, Glossy, MD318LL/A",634.99,Apple,"15.4\""",4 GB,500 GB,,,Microsoft Windows,
2713,Certified Refurbished - Apple MacBook Pro Retina 15-Inch Laptop - 2.3Ghz Core i7 / 8GB RAM / 256GB SSD MC975LL/A (Grade B),974.24,Apple,15.4 in,8 GB,256 GB,Intel Core i7,2.3 GHz,Mac OS X,7 h
2714,"Apple MacBook - 12"" - Core m5 - 8 GB RAM - 512 GB flash storage - English",1423.89,Apple,12 in,8 GB,,Core M,1.20 GHz,"Mac OS X 10.11 El Capitan, Mac OS",11 h
2715,Certified Refurbished - Apple MacBook Pro 15-Inch Laptop  - 2.4Ghz Core i5 / 4GB RAM / 320GB MC371LL/A (Grade B),465.19,Apple,15.4 in,4 GB,320 GB,Intel Core i5,2.4 GHz,"Mac OS X, Mac OS",
